left,right,task,metric,n_common,positives_common,patients_common,left_value_common,right_value_common,difference_left_minus_right,ci_low,ci_high
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,average_precision,17475,465,70,0.032614680056597,0.04488912649824684,-0.012274446441649843,-0.024341311717841006,-0.00250709977379717
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@10,17475,465,70,0.2979086632025005,0.45,-0.15209133679749953,-0.28980508854756826,-0.021391401117801596
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@20,17475,465,70,0.47210862793233316,0.5833333333333334,-0.11122470540100021,-0.2410105261552087,0.021158512901603768
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,hitrate@5,17475,465,70,0.16997512612276583,0.2916666666666667,-0.12169154054390086,-0.23840263822057875,-0.016857306346675458
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,mrr,17475,465,70,0.12138679992279434,0.2060379930533435,-0.08465119313054915,-0.1682251905117228,-0.013927669926753318
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@10,17475,465,70,0.0509966130685172,0.10329449749236344,-0.05229788442384624,-0.09277793584475871,-0.014818739588729708
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@20,17475,465,70,0.07317468265746373,0.13007923122688464,-0.05690454856942091,-0.10314165793053343,-0.013756379356776267
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,ndcg@5,17475,465,70,0.04159745451771191,0.08624215640883011,-0.0446447018911182,-0.08615668756449882,-0.00797460488548041
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@10,17475,465,70,0.03803862528134434,0.08633333333333333,-0.04829470805198899,-0.07810111928752385,-0.020406876903893312
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@20,17475,465,70,0.03808248493046715,0.07083333333333333,-0.032750848402866184,-0.05311419245427756,-0.013232475823288337
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,precision@5,17475,465,70,0.03803862528134434,0.08222222222222222,-0.04418359694087788,-0.08141855078897617,-0.010068958967455537
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@10,17475,465,70,0.05961413544748199,0.10534099765083538,-0.04572686220335339,-0.0945324843133182,0.0013826152737870653
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@20,17475,465,70,0.11937446972537334,0.19087821976360195,-0.0715037500382286,-0.14653335805251105,0.0024404086896257886
HLA-only LR LOSO,Peptide LR LOSO,immunogenicity_loso,recall@5,17475,465,70,0.029807067723740994,0.04305045836052295,-0.013243390636781958,-0.0384699484285053,0.009001188257215744
